store,websites,attribute_set,type,sku,com_image,com_small_image,com_thumbnail,gallery
admin,base,Default,simple,ATI3001,/a/t/ati_sunpower_6_bulb_kit_28.jpg,/a/t/ati_sunpower_6_bulb_kit_28.jpg,/a/t/ati_sunpower_6_bulb_kit_28.jpg,"/ati/ati_sunpower_4_bulb_kit.jpg,/ati/ati_sunpower_4_bulb_underside.jpg"
admin,base,Default,simple,ATI3003,/a/t/ati_sunpower_6_bulb_kit_29_1.jpg,/a/t/ati_sunpower_6_bulb_kit_29_1.jpg,/a/t/ati_sunpower_6_bulb_kit_29_1.jpg,"/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg"
admin,base,Default,simple,ATI3004,/a/t/ati_sunpower_6_bulb_kit_30_1.jpg,/a/t/ati_sunpower_6_bulb_kit_30_1.jpg,/a/t/ati_sunpower_6_bulb_kit_30_1.jpg,"/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg"
admin,base,Default,simple,ATI3005,/a/t/ati_sunpower_6_bulb_kit_31.jpg,/a/t/ati_sunpower_6_bulb_kit_31.jpg,/a/t/ati_sunpower_6_bulb_kit_31.jpg,"/ati/ati_sunpower_4_bulb_kit.jpg,/ati/ati_sunpower_4_bulb_underside.jpg"
admin,base,Default,simple,ATI3007,/a/t/ati_sunpower_6_bulb_kit_32_1.jpg,/a/t/ati_sunpower_6_bulb_kit_32_1.jpg,/a/t/ati_sunpower_6_bulb_kit_32_1.jpg,"/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg"
admin,base,Default,simple,ATI3008,/a/t/ati_sunpower_6_bulb_kit_33_1.jpg,/a/t/ati_sunpower_6_bulb_kit_33_1.jpg,/a/t/ati_sunpower_6_bulb_kit_33_1.jpg,"/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg"
admin,base,Default,simple,ATI3009,/a/t/ati_sunpower_6_bulb_kit_34.jpg,/a/t/ati_sunpower_6_bulb_kit_34.jpg,/a/t/ati_sunpower_6_bulb_kit_34.jpg,"/ati/ati_sunpower_4_bulb_kit.jpg,/ati/ati_sunpower_4_bulb_underside.jpg"
admin,base,Default,simple,ATI3011,/a/t/ati_sunpower_6_bulb_kit_35_1.jpg,/a/t/ati_sunpower_6_bulb_kit_35_1.jpg,/a/t/ati_sunpower_6_bulb_kit_35_1.jpg,"/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg"
admin,base,Default,simple,ATI3012,/a/t/ati_sunpower_6_bulb_kit_36_1.jpg,/a/t/ati_sunpower_6_bulb_kit_36_1.jpg,/a/t/ati_sunpower_6_bulb_kit_36_1.jpg,"/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg"
admin,base,Default,simple,ATI3013,/a/t/ati_sunpower_6_bulb_kit_37.jpg,/a/t/ati_sunpower_6_bulb_kit_37.jpg,/a/t/ati_sunpower_6_bulb_kit_37.jpg,"/ati/ati_sunpower_4_bulb_kit.jpg,/ati/ati_sunpower_4_bulb_underside.jpg"
admin,base,Default,simple,ATI3015,/a/t/ati_sunpower_6_bulb_kit_38_1.jpg,/a/t/ati_sunpower_6_bulb_kit_38_1.jpg,/a/t/ati_sunpower_6_bulb_kit_38_1.jpg,"/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg"
