store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,gift_message_available,limited_stock,length,width,height,brand,manufacturer,shipping_length,shipping_width,shipping_height,capacity,short_name,special_shipping,special_price_case_qty,map,power_consumption,product_weight,compatible_products,warranty,status,visibility,enable_googlecheckout,inchoo_bestselling_product,new_product,description,short_description,meta_keyword,custom_layout_update,description_specs,description_related,description_addon_title,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,price,special_price,weight,color,tax_class_id,special_from_date,special_to_date,msrp_enabled,msrp_display_actual_price_type,msrp,is_recurring,product_help_units,product_help_cases,product_help_intro1,product_help_intro2,product_help_happy,product_help_unhappy1,product_help_unhappy2,associated,_associated_sku
admin,base,Default,grouped,"60,61,65,66,67,115,132",ATIAquablueSpecial,1,ATI Aquablue Special High-Output T5 Bulb ,,,/a/t/ati_bulbs_aquablue_chart_16_1.jpg,/a/t/ati_bulbs_aquablue_chart_16_1.jpg,/a/t/ati_bulbs_aquablue_chart_16_1.jpg,"/ati/ati_bulbs_aquablue_chart.jpg,/ati/ati_bulbs_packaging.jpg",ati-aquablue-special-high-output-t5-bulb,ati-aquablue-special-high-output-t5-bulb.html,,No layout updates,Block after Info Column,,,, ,No,44,,,,ATI,ATI,,,,,,,,,,,,30-Day Manufacturer's,Enabled,"Catalog, Search",Yes,No,Yes,"ATI Aquablue Special T5 HO Fluorescent bulb combines the properties of a full-spectrum bulb with an elevated blue color peak producing a bulb with an approximate color temperature of 15000K. Recommended Use: as a stand-alone bulb or in combination with Blue Plus, Purple Plus, True Actinic or other supplemental T5 bulbs.",A full-spectrum bulb with an approximate color temperature of 15000K,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,ATI Aquablue Special High-Output T5 Bulb ,0,grouped,,,,,,,,,,,,,,10,10+,Mix &amp; Match pricing for this item is available for<br>CASE QUANTITIES ONLY. ,"<p>You must order a COMPLETE CASE of a single item to qualify for the case pricing. You may not combine single units of Mix &amp; Match items to create a case.</p><p>For items offering Mix &amp; Match pricing, you may combine COMPLETE CASES of that item with full cases of other available items listed.</p>","<p>Example of Qualifying Mix &amp; Match:</p><p>+ 60 ATI 24W Coral Plus Bulbs</p><p>+ 40 ATI 24W Blue Plus Bulbs</p>  <div class=""break""></div><p> = 100 Units / 10 cases </p><p class=""green"">Qualifies for Mix  &amp; Match 10+ Case Pricing!</p>","<p>Example of Non-Qualifying Mix & Match:</p><p> + 60 ATI 24W Coral Plus Bulbs </p><p> + 21 ATI 24W Blue Plus Bulbs</p><p> + 19 ATI 80W Blue Plus Bulbs</p><div class=""break""></div><p> = 100 Units / 9 cases + 10 units, NOT 10 Cases</p><p class=""red"">Does Not Qualify for Mix & Match 10+ Case Pricing</p>  <p class=""green"">Qualifies for 1+ Case Pricing</p>","<p>Example of Non-Qualifying 1+ Case Pricing:</p><p> + 6 ATI 24W Coral Plus Bulbs</p><p> + 4 ATI 24W Blue Plus Bulbs </p> <div class=""break""></div><p> = 10 Units, NOT 1 case </p> <p class=""red"">Does Not Qualify for 1+ Case Pricing</p>","ATI1101,ATI1103","ATI1101,ATI1103"
admin,base,Default,simple,,ATI1101,1,ATI 24W Aquablue Special High-Output T5 Bulb ,,,/a/t/ati_bulbs_aquablue_chart_21.jpg,/a/t/ati_bulbs_aquablue_chart_21.jpg,/a/t/ati_bulbs_aquablue_chart_21.jpg,"/ati/ati_bulbs_aquablue_chart.jpg,/ati/ati_bulbs_packaging.jpg",ati-24w-aquablue-special-high-output-t5-bulb,ati-24w-aquablue-special-high-output-t5-bulb.html,,No layout updates,Block after Info Column,,,, ,No,25,22.2,0.6,0.6,ATI,ATI,23,0.9,0.9,,24W Aquablue Special,,,,,0.2,,30-Day Manufacturer's,Enabled,Not Visible Individually,Yes,No,No,"ATI 24W Aquablue Special T5 HO Fluorescent bulb combines the properties of a full-spectrum bulb with an elevated blue color peak producing a bulb with an approximate color temperature of 15000K. Recommended Use: as a stand-alone bulb or in combination with Blue Plus, Purple Plus, True Actinic or other supplemental T5 bulbs.",A full-spectrum bulb with an approximate color temperature of 15000K,,,,,,,,,,50,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,ATI 24W Aquablue Special High-Output T5 Bulb ,0,simple,,,19.95,,0.2,,Taxable Goods,,,Use config,Use config,,No,10,10+,Mix &amp; Match pricing for this item is available for<br>CASE QUANTITIES ONLY. ,"<p>You must order a COMPLETE CASE of a single item to qualify for the case pricing. You may not combine single units of Mix &amp; Match items to create a case.</p><p>For items offering Mix &amp; Match pricing, you may combine COMPLETE CASES of that item with full cases of other available items listed.</p>","<p>Example of Qualifying Mix &amp; Match:</p><p>+ 60 ATI 24W Coral Plus Bulbs</p><p>+ 40 ATI 24W Blue Plus Bulbs</p>  <div class=""break""></div><p> = 100 Units / 10 cases </p><p class=""green"">Qualifies for Mix  &amp; Match 10+ Case Pricing!</p>","<p>Example of Non-Qualifying Mix & Match:</p><p> + 60 ATI 24W Coral Plus Bulbs </p><p> + 21 ATI 24W Blue Plus Bulbs</p><p> + 19 ATI 80W Blue Plus Bulbs</p><div class=""break""></div><p> = 100 Units / 9 cases + 10 units, NOT 10 Cases</p><p class=""red"">Does Not Qualify for Mix & Match 10+ Case Pricing</p>  <p class=""green"">Qualifies for 1+ Case Pricing</p>","<p>Example of Non-Qualifying 1+ Case Pricing:</p><p> + 6 ATI 24W Coral Plus Bulbs</p><p> + 4 ATI 24W Blue Plus Bulbs </p> <div class=""break""></div><p> = 10 Units, NOT 1 case </p> <p class=""red"">Does Not Qualify for 1+ Case Pricing</p>",,
admin,base,Default,simple,,ATI1103,1,ATI 39W Aquablue Special High-Output T5 Bulb ,,,/a/t/ati_bulbs_aquablue_chart_1_1.jpg,/a/t/ati_bulbs_aquablue_chart_1_1.jpg,/a/t/ati_bulbs_aquablue_chart_1_1.jpg,"/ati/ati_bulbs_aquablue_chart.jpg,/ati/ati_bulbs_packaging.jpg",ati-39w-aquablue-special-high-output-t5-bulb,ati-39w-aquablue-special-high-output-t5-bulb.html,,No layout updates,Block after Info Column,,,, ,No,50,34,0.6,0.6,ATI,ATI,35,0.9,0.9,,39W Aquablue Special,,,,,0.3,,30-Day Manufacturer's,Enabled,"Catalog, Search",Yes,No,No,"ATI 39W Aquablue Special T5 HO Fluorescent bulb combines the properties of a full-spectrum bulb with an elevated blue color peak producing a bulb with an approximate color temperature of 15000K. Recommended Use: as a stand-alone bulb or in combination with Blue Plus, Purple Plus, True Actinic or other supplemental T5 bulbs.",A full-spectrum bulb with an approximate color temperature of 15000K,,,,,,,,,,25,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,ATI 39W Aquablue Special High-Output T5 Bulb ,0,simple,,,20.95,,0.3,,Taxable Goods,,,Use config,Use config,,No,10,10+,Mix &amp; Match pricing for this item is available for<br>CASE QUANTITIES ONLY. ,"<p>You must order a COMPLETE CASE of a single item to qualify for the case pricing. You may not combine single units of Mix &amp; Match items to create a case.</p><p>For items offering Mix &amp; Match pricing, you may combine COMPLETE CASES of that item with full cases of other available items listed.</p>","<p>Example of Qualifying Mix &amp; Match:</p><p>+ 60 ATI 24W Coral Plus Bulbs</p><p>+ 40 ATI 24W Blue Plus Bulbs</p>  <div class=""break""></div><p> = 100 Units / 10 cases </p><p class=""green"">Qualifies for Mix  &amp; Match 10+ Case Pricing!</p>","<p>Example of Non-Qualifying Mix & Match:</p><p> + 60 ATI 24W Coral Plus Bulbs </p><p> + 21 ATI 24W Blue Plus Bulbs</p><p> + 19 ATI 80W Blue Plus Bulbs</p><div class=""break""></div><p> = 100 Units / 9 cases + 10 units, NOT 10 Cases</p><p class=""red"">Does Not Qualify for Mix & Match 10+ Case Pricing</p>  <p class=""green"">Qualifies for 1+ Case Pricing</p>","<p>Example of Non-Qualifying 1+ Case Pricing:</p><p> + 6 ATI 24W Coral Plus Bulbs</p><p> + 4 ATI 24W Blue Plus Bulbs </p> <div class=""break""></div><p> = 10 Units, NOT 1 case </p> <p class=""red"">Does Not Qualify for 1+ Case Pricing</p>",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
